Cautare sala dupa ID in baza de date,2025-05-19 16:41:14
Cautare materie dupa cod in baza de date,2025-05-19 16:41:14
Cautare profesor dupa ID in baza de date,2025-05-19 16:41:14
Cautare sala dupa ID in baza de date,2025-05-19 16:41:14
Cautare materie dupa cod in baza de date,2025-05-19 16:41:14
Cautare profesor dupa ID in baza de date,2025-05-19 16:41:14
Cautare sala dupa ID in baza de date,2025-05-19 16:41:14
Cautare materie dupa cod in baza de date,2025-05-19 16:41:14
Cautare profesor dupa ID in baza de date,2025-05-19 16:41:14
Cautare sala dupa ID in baza de date,2025-05-19 16:41:14
Listare toate cursurile din baza de date,2025-05-19 16:41:14
Afisare orar sala,2025-05-19 16:41:24
Salvare curs in baza de date,2025-05-19 16:41:59
Adaugare curs,2025-05-19 16:41:59
Afisare orar sala,2025-05-19 16:42:06
Cautare student dupa ID in baza de date,2025-05-19 16:42:57
Cautare student dupa ID in baza de date,2025-05-19 16:42:57
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:42:57
Obtinere cursuri student,2025-05-19 16:42:57
Cautare student dupa ID in baza de date,2025-05-19 16:42:57
Salvare inscriere in baza de date,2025-05-19 16:42:57
Inscriere student la materie,2025-05-19 16:42:57
Cautare student dupa ID in baza de date,2025-05-19 16:43:09
Cautare student dupa ID in baza de date,2025-05-19 16:43:09
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:43:09
Obtinere cursuri student,2025-05-19 16:43:09
Cautare student dupa ID in baza de date,2025-05-19 16:43:09
Salvare inscriere in baza de date,2025-05-19 16:43:09
Inscriere student la materie,2025-05-19 16:43:09
Cautare student dupa ID in baza de date,2025-05-19 16:43:27
Cautare student dupa ID in baza de date,2025-05-19 16:43:27
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:43:27
Obtinere cursuri student,2025-05-19 16:43:27
Cautare student dupa ID in baza de date,2025-05-19 16:43:27
Salvare inscriere in baza de date,2025-05-19 16:43:27
Inscriere student la materie,2025-05-19 16:43:27
Salvare student in baza de date,2025-05-19 16:43:52
Adaugare student,2025-05-19 16:43:52
Cautare student dupa ID in baza de date,2025-05-19 16:44:16
Cautare student dupa ID in baza de date,2025-05-19 16:44:16
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:44:16
Obtinere cursuri student,2025-05-19 16:44:16
Cautare student dupa ID in baza de date,2025-05-19 16:44:16
Calcul medie student,2025-05-19 16:44:16
Cautare student dupa ID in baza de date,2025-05-19 16:44:29
Cautare student dupa ID in baza de date,2025-05-19 16:44:29
